UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
P49722,PSA2_MOUSE,Proteasome subunit alpha type-2 OS=Mus musculus GN=Psma2 PE=1 SV=3 - [PSA2_MOUSE],6,8,16,17,0.588,0.096,0.099,0.034,0.051,0.043,0.015,0.027,0.011,0.035,0.464,0.095,0.115,0.084,0.090,0.045,0.030,0.014,0.018,0.045,Proteasome,Proteasome,Proteasome,Proteasome,Proteasome,1.000,Proteasome,Proteasome,N,,,,,,,,,
Q3TWL2,TM55B_MOUSE,Transmembrane protein 55B OS=Mus musculus GN=Tmem55b PE=1 SV=1 - [TM55B_MOUSE],6,7,16,14,0.000,0.109,0.193,0.158,0.324,0.129,0.035,0.031,0.005,0.016,0.002,0.087,0.155,0.235,0.260,0.173,0.051,0.022,0.011,0.005,unknown,unknown,unknown,unknown,Lysosome,0.808,Lysosome,Lysosome,N,,,,,,,,,
Q60648,SAP3_MOUSE,Ganglioside GM2 activator OS=Mus musculus GN=Gm2a PE=1 SV=2 - [SAP3_MOUSE],6,4,16,10,0.002,0.059,0.120,0.145,0.343,0.194,0.058,0.045,0.002,0.032,0.005,0.067,0.143,0.181,0.303,0.183,0.076,0.029,0.005,0.007,unknown,Phenotype 3,Lysosome,Lysosome,Lysosome,1.000,Lysosome,Lysosome,N,,,,,,,,,
Q9D1G1,RAB1B_MOUSE,Ras-related protein Rab-1B OS=Mus musculus GN=Rab1b PE=1 SV=1 - [RAB1B_MOUSE],6,6,16,14,0.025,0.097,0.130,0.102,0.228,0.188,0.072,0.088,0.006,0.065,0.025,0.082,0.101,0.155,0.200,0.225,0.112,0.068,0.013,0.019,unknown,Phenotype 4,unknown,unknown,Endosome,0.453,unclassified,unclassified,N,,,Rab proteins,Rab proteins,,,,,
P15864,H12_MOUSE,Histone H1.2 OS=Mus musculus GN=Hist1h1c PE=1 SV=2 - [H12_MOUSE],6,6,15,23,0.024,0.000,0.000,0.000,0.000,0.022,0.134,0.276,0.276,0.269,0.040,0.006,0.010,0.010,0.014,0.036,0.121,0.143,0.519,0.103,unknown,Phenotype 1,Nucleus - Chromatin,Nucleus - Chromatin,Nucleus - Chromatin,1.000,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,Prey,,
P19536,COX5B_MOUSE,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Mus musculus GN=Cox5b PE=1 SV=1 - [COX5B_MOUSE]",6,8,15,26,0.000,0.010,0.015,0.013,0.028,0.080,0.257,0.266,0.087,0.245,0.001,0.011,0.015,0.022,0.029,0.113,0.325,0.276,0.094,0.116,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
P62331,ARF6_MOUSE,ADP-ribosylation factor 6 OS=Mus musculus GN=Arf6 PE=1 SV=2 - [ARF6_MOUSE],6,5,15,15,0.024,0.290,0.229,0.117,0.175,0.077,0.034,0.018,0.011,0.025,0.037,0.201,0.182,0.180,0.172,0.102,0.055,0.027,0.021,0.024,unknown,unknown,unknown,unknown,Plasma membrane,0.645,unclassified,Plasma membrane,N,,,,,,,,,
P67984,RL22_MOUSE,60S ribosomal protein L22 OS=Mus musculus GN=Rpl22 PE=2 SV=2 - [RL22_MOUSE],6,6,15,18,0.224,0.057,0.070,0.039,0.073,0.073,0.061,0.115,0.073,0.214,0.120,0.053,0.061,0.062,0.080,0.092,0.094,0.052,0.074,0.313,60S Ribosome,60S Ribosome,60S Ribosome,60S Ribosome,60S Ribosome,1.000,60S Ribosome,60S Ribosome,N,,,,,,,,,
P97822-2,AN32E_MOUSE,Isoform 2 of Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Mus musculus GN=Anp32e - [AN32E_MOUSE],6,4,15,7,0.693,0.037,0.071,0.009,0.022,0.022,0.029,0.046,0.029,0.042,0.603,0.041,0.071,0.034,0.037,0.044,0.031,0.030,0.060,0.051,unknown,unknown,unknown,unknown,Proteasome,0.449,unclassified,unclassified,N,,,,,,,,,
Q99L13,3HIDH_MOUSE,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=2 SV=1 - [3HIDH_MOUSE]",6,11,15,20,0.000,0.015,0.019,0.005,0.024,0.099,0.344,0.249,0.010,0.234,0.003,0.009,0.014,0.018,0.024,0.104,0.351,0.339,0.006,0.132,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
P54728,RD23B_MOUSE,UV excision repair protein RAD23 homolog B OS=Mus musculus GN=Rad23b PE=1 SV=2 - [RD23B_MOUSE],6,7,14,14,0.612,0.074,0.086,0.033,0.053,0.029,0.020,0.039,0.026,0.027,0.535,0.077,0.101,0.072,0.079,0.046,0.030,0.015,0.037,0.008,unknown,Proteasome,unknown,unknown,Proteasome,0.756,Proteasome,unclassified,N,,,,,,,,,
Q810D6,GRWD1_MOUSE,Glutamate-rich WD repeat-containing protein 1 OS=Mus musculus GN=Grwd1 PE=2 SV=2 - [GRWD1_MOUSE],6,8,14,13,0.313,0.041,0.055,0.021,0.031,0.036,0.039,0.109,0.241,0.114,0.255,0.041,0.059,0.051,0.052,0.051,0.050,0.034,0.216,0.191,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.576,unclassified,unclassified,N,,,,,,,,,
Q8CFE6,S38A2_MOUSE,Sodium-coupled neutral amino acid transporter 2 OS=Mus musculus GN=Slc38a2 PE=1 SV=1 - [S38A2_MOUSE],6,6,14,8,0.000,0.155,0.179,0.159,0.263,0.108,0.051,0.047,0.002,0.037,0.002,0.117,0.135,0.202,0.273,0.144,0.081,0.028,0.008,0.010,unknown,Plasma membrane,unknown,unknown,Lysosome,0.459,unclassified,unclassified,N,,,,,,,,,
Q9Z1Q5,CLIC1_MOUSE,Chloride intracellular channel protein 1 OS=Mus musculus GN=Clic1 PE=1 SV=3 - [CLIC1_MOUSE],6,10,14,16,0.282,0.219,0.166,0.110,0.120,0.065,0.020,0.014,0.002,0.002,0.262,0.151,0.162,0.138,0.129,0.082,0.034,0.014,0.013,0.014,unknown,Phenotype 5,unknown,unknown,Actin cytoskeleton,0.342,unclassified,unclassified,N,,,,,,,,,
P32507;P32507-2,PVRL2_MOUSE,Poliovirus receptor-related protein 2 OS=Mus musculus GN=Pvrl2 PE=1 SV=2 - [PVRL2_MOUSE]|Isoform Alpha of Poliovirus receptor-related protein 2 OS=Mus musculus GN=Pvrl2 - [PVRL2_MOUSE],6,2,13,3,0.000,0.235,0.200,0.127,0.233,0.115,0.039,0.033,0.000,0.018,0.000,0.158,0.123,0.208,0.185,0.208,0.118,0.000,0.000,0.000,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.754,unclassified,Plasma membrane,N,,,,,,,,,
P61226,RAP2B_MOUSE,Ras-related protein Rap-2b OS=Mus musculus GN=Rap2b PE=1 SV=1 - [RAP2B_MOUSE],6,5,13,11,0.000,0.315,0.193,0.129,0.163,0.110,0.040,0.024,0.010,0.017,0.003,0.173,0.163,0.193,0.189,0.158,0.084,0.023,0.009,0.005,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.904,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q64105,SPRE_MOUSE,Sepiapterin reductase OS=Mus musculus GN=Spr PE=1 SV=1 - [SPRE_MOUSE],6,8,13,14,0.533,0.113,0.117,0.050,0.049,0.043,0.024,0.037,0.007,0.028,0.501,0.078,0.097,0.084,0.079,0.052,0.053,0.027,0.010,0.020,unknown,Proteasome,unknown,unknown,Cytosol,0.699,unclassified,Cytosol,N,,,,,,,,,
Q9QY76,VAPB_MOUSE,Vesicle-associated membrane protein-associated protein B OS=Mus musculus GN=Vapb PE=2 SV=3 - [VAPB_MOUSE],6,9,13,14,0.002,0.069,0.068,0.056,0.180,0.233,0.101,0.136,0.025,0.131,0.003,0.064,0.106,0.160,0.187,0.243,0.113,0.080,0.024,0.020,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.919,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
O88986,KBL_MOUSE,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus GN=Gcat PE=1 SV=2 - [KBL_MOUSE]",6,11,12,25,0.001,0.030,0.042,0.015,0.030,0.093,0.292,0.216,0.013,0.267,0.003,0.010,0.013,0.022,0.027,0.111,0.343,0.311,0.022,0.137,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
P97792,CXAR_MOUSE,Coxsackievirus and adenovirus receptor homolog OS=Mus musculus GN=Cxadr PE=1 SV=1 - [CXAR_MOUSE],6,9,12,14,0.000,0.303,0.169,0.135,0.120,0.119,0.063,0.047,0.008,0.035,0.002,0.187,0.153,0.169,0.167,0.183,0.101,0.027,0.005,0.005,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.877,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q61029,LAP2B_MOUSE,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma OS=Mus musculus GN=Tmpo PE=1 SV=4 - [LAP2B_MOUSE]",6,6,12,10,0.000,0.005,0.010,0.004,0.023,0.039,0.094,0.332,0.173,0.319,0.003,0.018,0.020,0.028,0.046,0.083,0.161,0.257,0.322,0.061,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.781,unclassified,Nucleus - Chromatin,N,Nucleus - Lamina,,,,,,,,
Q6IRU5-2,CLCB_MOUSE,Isoform 2 of Clathrin light chain B OS=Mus musculus GN=Cltb - [CLCB_MOUSE],6,6,12,10,0.138,0.204,0.097,0.066,0.083,0.195,0.113,0.034,0.050,0.021,0.135,0.119,0.107,0.083,0.139,0.167,0.126,0.039,0.053,0.032,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.221,unclassified,unclassified,N,Vesicles - Clathrin,,,,,,,,
Q8K4Z3,NNRE_MOUSE,NAD(P)H-hydrate epimerase OS=Mus musculus GN=Apoa1bp PE=1 SV=1 - [NNRE_MOUSE],6,8,12,12,0.125,0.038,0.033,0.028,0.047,0.098,0.221,0.205,0.005,0.201,0.115,0.040,0.044,0.050,0.073,0.094,0.305,0.178,0.010,0.091,unknown,unknown,unknown,unknown,Mitochondrion,0.809,unclassified,Mitochondrion,N,,,,,,,,,Putative
Q8VE99,CC115_MOUSE,Coiled-coil domain-containing protein 115 OS=Mus musculus GN=Ccdc115 PE=2 SV=1 - [CC115_MOUSE],6,9,12,12,0.028,0.067,0.071,0.054,0.177,0.177,0.076,0.180,0.013,0.157,0.027,0.074,0.087,0.112,0.212,0.164,0.184,0.079,0.031,0.030,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.832,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q91W53,GOGA7_MOUSE,Golgin subfamily A member 7 OS=Mus musculus GN=Golga7 PE=2 SV=1 - [GOGA7_MOUSE],6,5,12,9,0.002,0.208,0.175,0.123,0.215,0.123,0.059,0.051,0.015,0.030,0.000,0.151,0.141,0.180,0.194,0.185,0.101,0.027,0.013,0.007,unknown,Plasma membrane,unknown,unknown,Plasma membrane,0.777,unclassified,Plasma membrane,N,,,,,,,,,
Q91WB4,PKHF2_MOUSE,Pleckstrin homology domain-containing family F member 2 OS=Mus musculus GN=Plekhf2 PE=1 SV=1 - [PKHF2_MOUSE],6,7,12,12,0.145,0.270,0.176,0.111,0.106,0.075,0.031,0.041,0.012,0.033,0.124,0.191,0.147,0.160,0.149,0.104,0.054,0.021,0.016,0.035,unknown,Phenotype 9,unknown,unknown,Actin cytoskeleton,0.712,Actin cytoskeleton,Actin cytoskeleton,N,,,,,,,,,
Q9CQ92,FIS1_MOUSE,Mitochondrial fission 1 protein OS=Mus musculus GN=Fis1 PE=1 SV=1 - [FIS1_MOUSE],6,5,12,7,0.073,0.115,0.103,0.061,0.124,0.130,0.091,0.138,0.025,0.140,0.106,0.082,0.093,0.100,0.111,0.126,0.149,0.093,0.052,0.088,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.360,unclassified,unclassified,N,,,,,,,,,
Q9D172,ES1_MOUSE,"ES1 protein homolog, mitochondrial OS=Mus musculus GN=D10Jhu81e PE=1 SV=1 - [ES1_MOUSE]",6,7,12,13,0.000,0.008,0.014,0.008,0.031,0.104,0.270,0.311,0.000,0.254,0.003,0.011,0.012,0.016,0.024,0.090,0.370,0.339,0.000,0.134,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9D7G0,PRPS1_MOUSE,Ribose-phosphate pyrophosphokinase 1 OS=Mus musculus GN=Prps1 PE=1 SV=4 - [PRPS1_MOUSE],6,6,12,18,0.453,0.085,0.102,0.044,0.065,0.057,0.035,0.076,0.020,0.064,0.349,0.098,0.109,0.096,0.098,0.071,0.046,0.037,0.020,0.074,unknown,unknown,unknown,unknown,Proteasome,0.384,unclassified,unclassified,Y,,,,,,,,,
Q9DCS3,MECR_MOUSE,"Trans-2-enoyl-CoA reductase, mitochondrial OS=Mus musculus GN=Mecr PE=2 SV=2 - [MECR_MOUSE]",6,8,12,9,0.000,0.009,0.008,0.009,0.026,0.094,0.354,0.248,0.023,0.230,0.003,0.018,0.015,0.021,0.025,0.093,0.371,0.260,0.038,0.157,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9JJT0,RCL1_MOUSE,RNA 3'-terminal phosphate cyclase-like protein OS=Mus musculus GN=Rcl1 PE=2 SV=1 - [RCL1_MOUSE],6,6,12,8,0.102,0.007,0.012,0.003,0.012,0.024,0.051,0.222,0.319,0.248,0.093,0.013,0.027,0.025,0.034,0.041,0.049,0.056,0.343,0.319,unknown,Phenotype 2,Nucleus - Non-chromatin,Nucleus - Non-chromatin,Nucleus - Non-chromatin,1.000,Nucleus - Non-chromatin,Nucleus - Non-chromatin,N,,,,,,,,,
Q9QZH6,ECSIT_MOUSE,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial OS=Mus musculus GN=Ecsit PE=1 SV=2 - [ECSIT_MOUSE]",6,6,12,13,0.000,0.012,0.015,0.011,0.027,0.077,0.267,0.290,0.066,0.235,0.001,0.010,0.015,0.022,0.026,0.085,0.320,0.323,0.066,0.132,unknown,Mitochondrion,unknown,unknown,Mitochondrion,0.984,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9R013,CATF_MOUSE,Cathepsin F OS=Mus musculus GN=Ctsf PE=2 SV=1 - [CATF_MOUSE],6,8,12,11,0.003,0.082,0.154,0.136,0.290,0.200,0.057,0.041,0.008,0.030,0.001,0.065,0.146,0.203,0.269,0.182,0.082,0.033,0.010,0.010,unknown,Phenotype 3,Lysosome,Lysosome,Lysosome,1.000,Lysosome,Lysosome,N,,,,,,,,,
Q9R0A0,PEX14_MOUSE,Peroxisomal membrane protein PEX14 OS=Mus musculus GN=Pex14 PE=1 SV=1 - [PEX14_MOUSE],6,7,12,15,0.006,0.013,0.011,0.013,0.030,0.107,0.165,0.328,0.029,0.298,0.002,0.022,0.030,0.039,0.064,0.135,0.272,0.225,0.033,0.179,unknown,Mitochondrion,unknown,unknown,Peroxisome,0.629,Peroxisome,Peroxisome,N,,,,,,,,,
Q9WUR2-2,ECI2_MOUSE,"Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial OS=Mus musculus GN=Eci2 - [ECI2_MOUSE]",6,8,12,12,0.000,0.002,0.000,0.010,0.016,0.101,0.308,0.282,0.035,0.246,0.002,0.014,0.019,0.029,0.036,0.127,0.292,0.287,0.050,0.144,unknown,Mitochondrion,unknown,unknown,Mitochondrion,0.973,Mitochondrion,Mitochondrion,N,,,,,,,,,
O88455,DHCR7_MOUSE,7-dehydrocholesterol reductase OS=Mus musculus GN=Dhcr7 PE=2 SV=1 - [DHCR7_MOUSE],6,5,11,14,0.000,0.031,0.045,0.043,0.121,0.231,0.159,0.183,0.038,0.149,0.002,0.064,0.101,0.119,0.172,0.228,0.144,0.102,0.041,0.027,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.952,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
O89023,TPP1_MOUSE,Tripeptidyl-peptidase 1 OS=Mus musculus GN=Tpp1 PE=1 SV=2 - [TPP1_MOUSE],6,8,11,17,0.000,0.087,0.160,0.131,0.263,0.189,0.071,0.060,0.000,0.039,0.004,0.068,0.135,0.195,0.253,0.200,0.090,0.035,0.009,0.012,unknown,Phenotype 3,Lysosome,Lysosome,Lysosome,1.000,Lysosome,Lysosome,N,,,,,,,,,
Q3B7Z2,OSBP1_MOUSE,Oxysterol-binding protein 1 OS=Mus musculus GN=Osbp PE=1 SV=3 - [OSBP1_MOUSE],6,22,11,28,0.149,0.066,0.086,0.058,0.139,0.191,0.103,0.117,0.010,0.081,0.062,0.069,0.103,0.141,0.194,0.218,0.108,0.070,0.012,0.023,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.754,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q62167,DDX3X_MOUSE,ATP-dependent RNA helicase DDX3X OS=Mus musculus GN=Ddx3x PE=1 SV=3 - [DDX3X_MOUSE],6,4,11,9,0.272,0.046,0.055,0.031,0.058,0.056,0.066,0.093,0.168,0.155,0.176,0.053,0.060,0.037,0.061,0.068,0.077,0.043,0.180,0.245,unknown,40S Ribosome,unknown,unknown,40S Ribosome,0.268,unclassified,unclassified,N,,,,,,,,,
Q63850,NUP62_MOUSE,Nuclear pore glycoprotein p62 OS=Mus musculus GN=Nup62 PE=1 SV=2 - [NUP62_MOUSE],6,8,11,12,0.146,0.062,0.052,0.024,0.046,0.052,0.087,0.157,0.205,0.168,0.132,0.080,0.075,0.057,0.074,0.056,0.061,0.065,0.247,0.151,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.273,unclassified,unclassified,N,,,,,,,,,
Q78IQ7,S39A4_MOUSE,Zinc transporter ZIP4 OS=Mus musculus GN=Slc39a4 PE=1 SV=1 - [S39A4_MOUSE],6,7,11,12,0.000,0.145,0.263,0.164,0.217,0.108,0.046,0.035,0.000,0.022,0.000,0.074,0.174,0.266,0.252,0.153,0.056,0.021,0.001,0.004,unknown,unknown,unknown,unknown,Lysosome,0.385,unclassified,unclassified,N,,,,,,,,,
Q8BLF1,NCEH1_MOUSE,Neutral cholesterol ester hydrolase 1 OS=Mus musculus GN=Nceh1 PE=1 SV=1 - [NCEH1_MOUSE],6,6,11,11,0.000,0.112,0.048,0.066,0.115,0.261,0.167,0.122,0.000,0.109,0.000,0.064,0.093,0.133,0.195,0.243,0.140,0.104,0.007,0.020,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.928,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9CQB5,CISD2_MOUSE,CDGSH iron-sulfur domain-containing protein 2 OS=Mus musculus GN=Cisd2 PE=1 SV=1 - [CISD2_MOUSE],6,5,11,7,0.002,0.065,0.072,0.053,0.152,0.166,0.102,0.214,0.010,0.166,0.004,0.072,0.130,0.094,0.165,0.205,0.137,0.122,0.042,0.030,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.861,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9CQN7,RM41_MOUSE,"39S ribosomal protein L41, mitochondrial OS=Mus musculus GN=Mrpl41 PE=2 SV=1 - [RM41_MOUSE]",6,5,11,7,0.007,0.016,0.016,0.012,0.027,0.073,0.205,0.307,0.071,0.266,0.002,0.013,0.017,0.015,0.023,0.093,0.351,0.262,0.081,0.144,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9CR67,TMM33_MOUSE,Transmembrane protein 33 OS=Mus musculus GN=Tmem33 PE=2 SV=1 - [TMM33_MOUSE],6,4,11,8,0.000,0.031,0.048,0.053,0.200,0.220,0.117,0.166,0.019,0.146,0.015,0.047,0.074,0.136,0.214,0.212,0.158,0.086,0.027,0.031,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.933,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q9CXY6,ILF2_MOUSE,Interleukin enhancer-binding factor 2 OS=Mus musculus GN=Ilf2 PE=1 SV=1 - [ILF2_MOUSE],6,10,11,13,0.229,0.007,0.016,0.000,0.010,0.018,0.027,0.047,0.536,0.110,0.155,0.016,0.026,0.017,0.023,0.027,0.037,0.023,0.456,0.219,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.849,unclassified,Nucleus - Non-chromatin,N,,,,,,,,,
Q9D1H6,NDUF4_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 OS=Mus musculus GN=Ndufaf4 PE=2 SV=1 - [NDUF4_MOUSE],6,3,11,5,0.000,0.024,0.013,0.011,0.031,0.087,0.286,0.248,0.052,0.247,0.021,0.012,0.019,0.033,0.038,0.085,0.311,0.297,0.059,0.126,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9D1P0,RM13_MOUSE,"39S ribosomal protein L13, mitochondrial OS=Mus musculus GN=Mrpl13 PE=2 SV=1 - [RM13_MOUSE]",6,5,11,8,0.000,0.015,0.020,0.016,0.038,0.096,0.206,0.272,0.085,0.252,0.001,0.010,0.016,0.022,0.025,0.083,0.336,0.295,0.079,0.133,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q9R1P1,PSB3_MOUSE,Proteasome subunit beta type-3 OS=Mus musculus GN=Psmb3 PE=1 SV=1 - [PSB3_MOUSE],6,6,11,11,0.601,0.115,0.109,0.035,0.045,0.031,0.010,0.017,0.013,0.024,0.474,0.091,0.115,0.070,0.073,0.065,0.025,0.017,0.020,0.051,Proteasome,Proteasome,Proteasome,Proteasome,Proteasome,1.000,Proteasome,Proteasome,N,,,,,,,,,
Q9WU28,PFD5_MOUSE,Prefoldin subunit 5 OS=Mus musculus GN=Pfdn5 PE=1 SV=1 - [PFD5_MOUSE],6,5,11,11,0.637,0.067,0.094,0.044,0.061,0.038,0.023,0.015,0.010,0.011,0.485,0.100,0.110,0.097,0.085,0.064,0.027,0.011,0.009,0.011,unknown,Phenotype 5,unknown,unknown,Proteasome,0.480,unclassified,unclassified,N,,,,,,,,,
Q9Z130,HNRDL_MOUSE,Heterogeneous nuclear ribonucleoprotein D-like OS=Mus musculus GN=Hnrpdl PE=1 SV=1 - [HNRDL_MOUSE],6,9,11,13,0.178,0.008,0.020,0.006,0.010,0.015,0.030,0.059,0.589,0.085,0.121,0.013,0.019,0.011,0.017,0.018,0.037,0.028,0.583,0.153,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.585,unclassified,unclassified,N,,,,,,,,,
Q9Z2V5,HDAC6_MOUSE,Histone deacetylase 6 OS=Mus musculus GN=Hdac6 PE=1 SV=3 - [HDAC6_MOUSE],6,3,11,5,0.158,0.071,0.046,0.023,0.035,0.033,0.083,0.226,0.156,0.168,0.174,0.075,0.075,0.065,0.088,0.060,0.076,0.071,0.222,0.093,unknown,40S Ribosome,unknown,unknown,Nucleus - Non-chromatin,0.170,unclassified,unclassified,N,,,,,,,,,
O70161,PI51C_MOUSE,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma OS=Mus musculus GN=Pip5k1c PE=1 SV=2 - [PI51C_MOUSE],6,7,10,10,0.023,0.329,0.169,0.102,0.167,0.105,0.043,0.032,0.000,0.031,0.028,0.215,0.138,0.175,0.176,0.137,0.079,0.022,0.017,0.013,unknown,unknown,unknown,unknown,Plasma membrane,0.851,Plasma membrane,Plasma membrane,N,,,,,,,,,
O70435,PSA3_MOUSE,Proteasome subunit alpha type-3 OS=Mus musculus GN=Psma3 PE=1 SV=3 - [PSA3_MOUSE],6,5,10,7,0.596,0.099,0.107,0.037,0.033,0.029,0.015,0.025,0.019,0.040,0.458,0.097,0.114,0.078,0.088,0.062,0.026,0.016,0.016,0.045,Proteasome,Proteasome,Proteasome,Proteasome,Proteasome,1.000,Proteasome,Proteasome,N,,,,,,,,,
O88531,PPT1_MOUSE,Palmitoyl-protein thioesterase 1 OS=Mus musculus GN=Ppt1 PE=2 SV=2 - [PPT1_MOUSE],6,8,10,13,0.000,0.094,0.163,0.139,0.322,0.170,0.043,0.038,0.001,0.031,0.004,0.077,0.127,0.192,0.298,0.170,0.092,0.024,0.006,0.010,unknown,Phenotype 3,Lysosome,Lysosome,Lysosome,1.000,Lysosome,Lysosome,N,,,,,,,,,
P11031,TCP4_MOUSE,Activated RNA polymerase II transcriptional coactivator p15 OS=Mus musculus GN=Sub1 PE=1 SV=3 - [TCP4_MOUSE],6,5,10,13,0.333,0.035,0.030,0.003,0.018,0.023,0.080,0.200,0.080,0.196,0.438,0.038,0.072,0.043,0.039,0.036,0.049,0.106,0.141,0.039,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.150,unclassified,unclassified,N,,,,Spliceosome,,,,,
P11404,FABPH_MOUSE,"Fatty acid-binding protein, heart OS=Mus musculus GN=Fabp3 PE=1 SV=5 - [FABPH_MOUSE]",6,4,10,4,0.603,0.085,0.085,0.059,0.076,0.033,0.020,0.016,0.008,0.013,0.463,0.100,0.119,0.085,0.103,0.061,0.033,0.011,0.013,0.014,unknown,Phenotype 5,Cytosol,Cytosol,Cytosol,1.000,Cytosol,Cytosol,Y,,,,,,,,,
P26350,PTMA_MOUSE,Prothymosin alpha OS=Mus musculus GN=Ptma PE=1 SV=2 - [PTMA_MOUSE],6,5,10,21,0.738,0.055,0.088,0.023,0.028,0.025,0.025,0.011,0.000,0.006,0.708,0.044,0.096,0.037,0.045,0.024,0.026,0.015,0.003,0.002,unknown,Phenotype 6,unknown,unknown,Proteasome,0.368,unclassified,unclassified,N,,,,,,,,,
P34914,HYES_MOUSE,Bifunctional epoxide hydrolase 2 OS=Mus musculus GN=Ephx2 PE=1 SV=2 - [HYES_MOUSE],6,16,10,22,0.141,0.031,0.034,0.016,0.033,0.079,0.130,0.283,0.000,0.252,0.107,0.038,0.060,0.062,0.069,0.145,0.204,0.163,0.013,0.140,unknown,unknown,unknown,unknown,Peroxisome,0.575,Peroxisome,unclassified,N,,,,,,,,,
