Lead gene name,Lead ID,Protein names,Majority protein IDs,Organellar markers,Profiled in how many +EGF Maps,Log2 Ratio H/L EGF1_03K,Log2 Ratio H/L EGF1_06K,Log2 Ratio H/L EGF1_12K,Log2 Ratio H/L EGF1_24K,Log2 Ratio H/L EGF1_80K,Log2 Ratio H/L EGF2_03K,Log2 Ratio H/L EGF2_06K,Log2 Ratio H/L EGF2_12K,Log2 Ratio H/L EGF2_24K,Log2 Ratio H/L EGF2_80K,Log2 Ratio H/L EGF3_03K,Log2 Ratio H/L EGF3_06K,Log2 Ratio H/L EGF3_12K,Log2 Ratio H/L EGF3_24K,Log2 Ratio H/L EGF3_80K
LTV1,Q96GA3,Protein LTV1 homolog,Q96GA3,,1,,,,,,1.119289768,1.61117238,0.889395662,0.441695937,-1.375608957,,,,,
LUC7L,Q9NQ29,Putative RNA-binding protein Luc7-like 1,Q9NQ29;Q9NQ29-2;Q9NQ29-3,,3,0.935459748,1.166136966,-0.034293277,-1.391077238,-1.275122756,0.731965214,0.748117693,-0.018892627,-1.207994277,-1.527283495,0.910348915,1.119422583,0.053111336,-1.119259628,-1.679365139
LUC7L2,Q9Y383,Putative RNA-binding protein Luc7-like 2,Q9Y383,,3,0.817213924,1.363171077,0.065296567,-1.085588556,-1.569093886,0.815493455,1.08983709,-0.069270231,-1.244753472,-1.595925249,0.803392379,1.052068047,-0.106063156,-1.195120392,-1.92768836
LUC7L3,O95232,Luc7-like protein 3,O95232,,3,0.722553458,1.534559685,-0.103239907,-1.178534676,-1.521929028,0.768840668,1.597459663,0.059493725,-1.041417126,-1.421785835,0.800744624,1.478661236,0.143132156,-0.994643132,-1.545192408
LUZP1,Q86V48,Leucine zipper protein 1,Q86V48;Q86V48-2;Q86V48-3,,3,0.509341141,1.363002823,-0.066276302,-1.007318569,-0.504509489,0.852478324,1.42932137,-0.136997227,-1.031946122,-0.77294902,0.44794941,0.622086971,-0.21819548,-1.03238869,-0.971770345
LY6K,Q17RY6,Lymphocyte antigen 6K,Q17RY6;Q17RY6-2,,1,,,,,,,,,,,0.000144262,-1.459813983,-1.286022711,0.598079306,2.314754522
LYAR,Q9NX58,Cell growth-regulating nucleolar protein,Q9NX58,,3,-0.034825238,0.97217797,-0.471708746,-1.17830611,-2.4545851,-0.097934141,1.405556763,0.021621858,-0.650883875,-1.99493063,-0.049352427,1.532865503,0.171975377,-0.936386616,-2.194360844
LYN,P07948-2,Tyrosine-protein kinase Lyn,P07948-2,,3,-0.537842952,-0.433740116,-0.532115393,0.530969649,2.496922466,-0.200912694,-0.27388377,0.024603367,1.103598348,2.899194969,-0.304006187,-0.577745467,-0.454209508,0.548041987,2.406971971
LYPD3,O95274,Ly6/PLAUR domain-containing protein 3,O95274,Plasma membrane,3,-0.649004968,-0.62491051,-0.681515396,0.37928825,2.696216434,-0.230990002,-0.374149743,-0.171693386,0.942833505,2.931380494,-0.203003629,-0.564712786,-0.469869313,0.467070757,2.521201533
LYPLA1,O75608,Acyl-protein thioesterase 1,O75608;O75608-2,,2,,,,,,-0.973299074,-0.280019299,1.195158587,1.977902667,2.836530121,-0.674337278,-0.318343847,1.578504028,1.675499813,2.777935153
M6PR,P20645,Cation-dependent mannose-6-phosphate receptor,P20645,Endosome,3,1.533961965,0.734742131,-0.500238286,-0.740625059,-0.774675706,1.769602498,0.779469857,-0.362491764,-0.777022375,-0.802033988,1.975703548,0.738465217,-0.384828567,-0.834879148,-0.868568556
MACF1,Q9UPN3-2,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5",Q9UPN3-2;Q9UPN3-3,,3,-0.114597442,0.559638645,0.240253262,-0.104278593,-0.613762935,0.148478616,0.622368152,0.432531879,-0.251658997,-0.681931946,0.276556218,0.187894405,0.3154503,-0.14053926,-0.722610301
MACROD1,Q9BQ69,O-acetyl-ADP-ribose deacetylase MACROD1,Q9BQ69,,3,-1.295517527,-0.856449846,2.150722133,3.222541836,3.251900838,-1.066306513,-0.657809388,2.36577651,3.439756099,3.09044698,-1.038806396,-0.655080627,2.216361735,3.360223793,3.134943749
MAGED2,Q9UNF1,Melanoma-associated antigen D2,Q9UNF1;Q9UNF1-2,,3,-0.276327862,0.178109076,-0.426838791,-1.082407848,-0.850038321,0.013212111,0.656267535,-0.287747602,-0.745309216,-0.843629273,-0.052700407,0.705225957,-0.17569649,-0.904089079,-1.011675237
MAGOHB,Q96A72,Protein mago nashi homolog 2,Q96A72,,3,1.157755178,2.001694172,0.101784524,-1.211464621,-1.753798678,1.40403114,2.118990892,0.444773066,-0.940921658,-1.436431822,1.47134356,2.173511248,0.443394475,-1.036496283,-1.711369758
MAGT1,Q9H0U3,Magnesium transporter protein 1,Q9H0U3,,2,0.261470639,-0.877552565,-0.798617064,1.190425227,2.654412626,,,,,,0.600174586,-0.727212355,-0.632852625,1.271485439,3.557900178
MAN1B1,Q9UKM7,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",Q9UKM7,,3,-0.968012037,-0.510231019,1.278698482,2.002882509,2.015854345,-0.854413837,-0.555735799,1.263455131,1.842576631,2.213782747,-0.601890464,-0.414037577,1.276020155,2.050118553,1.155425432
MAN2A1,Q16706,Alpha-mannosidase 2,Q16706,Golgi,3,-0.830665021,-0.408895095,0.993275822,1.926341069,2.287738232,-0.730344414,-0.478446669,1.125584982,2.005902957,2.410720997,-0.600008649,-0.414922088,1.155619721,2.149389449,2.406074019
MAN2B1,O00754,Lysosomal alpha-mannosidase,O00754;O00754-2,Lysosome,3,0.800496148,-0.912184166,-0.929226005,1.242023178,3.27296377,0.992840926,-0.842594044,-0.852120245,1.249748715,2.705867346,1.10855791,-0.943139057,-0.765719423,1.180784391,2.946468868
MANF,P55145,Mesencephalic astrocyte-derived neurotrophic factor,P55145,,3,0.292546188,-0.772603931,-0.726018704,1.18161146,2.966024329,0.342213373,-0.743810563,-0.422307734,1.360757558,2.926967218,0.817050158,-0.534140433,-0.456761499,1.367930141,2.964250751
MAP2K1,Q02750,Dual specificity mitogen-activated protein kinase kinase 1,Q02750;Q02750-2,,1,,,,,,-1.323407616,-0.468571126,-0.593942312,-0.639669438,-0.156514555,,,,,
MAP2K3,P46734,Dual specificity mitogen-activated protein kinase kinase 3,P46734;P46734-2;P46734-3,,2,-0.416192117,0.882056071,-0.265465952,-0.906737317,-0.919997326,,,,,,0.237074171,0.552180304,-0.20769435,-0.993091631,-1.222969615
MAP2K7,O14733,Dual specificity mitogen-activated protein kinase kinase 7,O14733;O14733-4;O14733-3;O14733-2,,1,-0.130602333,0.625551051,0.020768865,-0.395302379,0.021906077,,,,,,,,,,
MAP4,P27816,Microtubule-associated protein 4,P27816;P27816-6;P27816-2,,3,2.390557636,1.935912287,0.293488202,-0.701083664,-1.285917173,2.305503648,1.933723698,0.242572021,-0.862024399,-1.473290133,2.274410769,1.759709791,0.267715562,-0.804450816,-1.785427531
MAP4,P27816-4,Microtubule-associated protein 4,P27816-4,,2,2.78263921,2.292899515,-0.06680508,-1.114941115,-1.254805702,2.121114894,1.535157156,-0.175680195,-1.172343542,-1.609992738,,,,,
MAP4K4,O95819,Mitogen-activated protein kinase kinase kinase kinase 4,O95819,,3,-0.421534617,-0.209161249,-0.347986259,-0.037399156,0.736907885,-0.150032756,0.085288675,0.116497841,0.149779631,0.590338533,-0.07729977,-0.114285082,-0.269251371,0.201382936,0.678162071
MAP7,Q14244,Ensconsin,Q14244;Q14244-2;Q14244-6;Q14244-7;Q14244-3;Q14244-4;Q14244-5,,3,1.958137391,1.631709645,-0.105706066,-0.944360081,-1.081827514,1.953674984,1.45385994,-0.110074834,-1.052685444,-1.154024282,1.655901322,1.162016633,-0.26359428,-1.14407407,-1.550084763
MAP7D1,Q3KQU3,MAP7 domain-containing protein 1,Q3KQU3;Q3KQU3-4;Q3KQU3-2,,1,1.658828424,1.651407656,-0.044627675,-1.144361056,-1.126674999,,,,,,,,,,
MAP7D3,Q8IWC1,MAP7 domain-containing protein 3,Q8IWC1;Q8IWC1-2;Q8IWC1-4;Q8IWC1-3,,2,1.98935703,1.644225472,0.108892402,-0.738192406,-0.8358316,,,,,,0.453333197,0.319502329,-0.132483034,-1.285635774,-1.651903584
MAPK1,P28482,Mitogen-activated protein kinase 1,P28482;P28482-2,,3,-0.432921898,-0.386147784,-0.499055214,-0.525247287,-0.66529444,-0.552748786,-0.239072253,-0.364607779,-0.637019612,-0.260964182,-0.259754563,-0.165094658,-0.353652985,-0.754114966,-0.886912977
MAPRE1,Q15691,Microtubule-associated protein RP/EB family member 1,Q15691,,3,-0.230617545,0.2282338,-0.431870583,-0.579404418,-0.420066834,-0.084012617,0.108089492,-0.292899334,-0.697874004,-0.615021861,0.06942721,0.251082803,-0.272001152,-0.647399649,-0.718094076
MARC1,Q5VT66,Mitochondrial amidoxime-reducing component 1,Q5VT66;Q5VT66-2;Q5VT66-3,Mitochondrion,3,-1.038332225,-0.80140527,1.109159939,2.58190556,3.959399235,-0.866515384,-0.757403591,1.218657193,3.156137698,4.362610154,-0.875195457,-0.76792872,1.238909117,2.616192996,3.83975808
MARC2,Q969Z3,Mitochondrial amidoxime reducing component 2,Q969Z3;Q969Z3-2,Mitochondrion,2,-1.049934776,-0.68896197,1.618238656,3.350214338,4.398418782,-0.935475798,-0.780586726,1.915826808,3.308317185,2.379704128,,,,,
MARCH5,Q9NX47,E3 ubiquitin-protein ligase MARCH5,Q9NX47,,2,-0.904359085,-0.803166372,1.048166421,2.766913134,3.965876614,-0.850246378,-0.72234845,1.315971913,3.121562526,4.527821022,,,,,
MARCKS,P29966,Myristoylated alanine-rich C-kinase substrate,P29966,,3,-0.651722249,-0.44988737,-0.310718733,0.039980598,0.420185937,-0.387411593,-0.353523948,-0.195401195,0.088955682,0.50019018,-0.191096043,-0.378306775,-0.217624987,0.046421211,0.504772916
MARCKSL1,P49006,MARCKS-related protein,P49006,,3,-0.350099479,-0.407727161,-0.49923873,0.129348967,0.881273061,0.048933645,-0.185917221,-0.222649725,0.364236231,0.994434904,0.138028045,-0.416750514,-0.426198933,0.217851097,1.085016673
MARK2,Q7KZI7-14,Serine/threonine-protein kinase MARK2,Q7KZI7-14;Q7KZI7;Q7KZI7-13;Q7KZI7-15;Q7KZI7-16;Q7KZI7-12;Q7KZI7-3;Q7KZI7-6;Q7KZI7-11;Q7KZI7-8;Q7KZI7-4;Q7KZI7-10;Q7KZI7-7;Q7KZI7-2;Q7KZI7-5;Q7KZI7-9,,3,0.541316585,0.635800817,-0.0498153,-0.661045102,-0.512822392,0.826111164,0.800993057,0.065296567,-0.565502538,-0.569993122,0.55011263,0.326422296,-0.446108722,-0.710330761,-1.114628681
MARS,P56192,"Methionine--tRNA ligase, cytoplasmic",P56192;P56192-2,Large Protein Complex,3,0.641268561,-0.329884819,-0.148384867,1.18033885,-0.304736625,0.676899239,-0.277166791,0.039138394,1.116830496,-0.357825241,0.983969487,-0.113395228,-0.178779609,0.99088227,-0.287113729
MAT2A,P31153,S-adenosylmethionine synthase isoform type-2,P31153;P31153-2,,3,-1.595140464,-0.731517697,-1.224688132,-1.417077951,-1.115722496,-1.699325666,-1.222094295,-1.640748728,-1.927578591,-1.037976699,-1.313943275,-0.857259828,-1.334861952,-2.036703449,-0.978662417
MATR3,P43243,Matrin-3,P43243,,3,-0.287395416,1.419269204,-0.617852931,-1.611005975,-1.430470022,0.017921908,2.139502239,-0.038184078,-1.060668092,-0.981365826,-0.153606979,1.233274539,-0.294455525,-1.353616116,-1.244548354
MAVS,Q7Z434,Mitochondrial antiviral-signaling protein,Q7Z434;Q7Z434-4,Mitochondrion,2,,,,,,-1.060487545,-0.838022051,2.269362355,3.378927725,4.15534447,-1.017884398,-0.622976229,2.27625843,4.304949041,4.529633571
MB21D1,Q8N884,Cyclic GMP-AMP synthase,Q8N884;Q8N884-2,,3,0.679874148,1.536301619,0.259302621,-0.544666203,-0.833387379,0.707789805,1.754802007,0.08024833,-1.059705433,-1.197467609,0.114233744,0.865443775,0.071762669,-0.77571271,-1.333734235
MBLAC2,Q68D91,Metallo-beta-lactamase domain-containing protein 2,Q68D91;Q68D91-2,,3,-0.474392123,-0.655671421,-0.035017384,1.368041931,2.420697975,-0.257045243,-0.444164217,0.120750053,0.99573776,1.051372102,-0.148240966,-0.626090137,0.238053099,1.342270274,1.112766845
MBNL1,Q9NR56,Muscleblind-like protein 1,Q9NR56,,3,1.210014738,1.0360461,-0.377182071,-1.359045967,-1.139744326,1.2429378,1.223298973,-0.110028123,-1.208827732,-1.131660914,1.432157687,1.140124224,-0.305110895,-1.102651134,-1.220715062
MBOAT7,Q96N66,Lysophospholipid acyltransferase 7,Q96N66;Q96N66-2;Q96N66-3,,3,0.277508728,-0.708962316,-0.683599346,1.094709007,3.375734539,0.313245852,-0.713994195,-0.44494956,1.25960393,3.301894882,0.474565835,-0.664516744,-0.710425184,1.193645601,3.236676292
MCAM,P43121,Cell surface glycoprotein MUC18,P43121,Plasma membrane,3,-0.571750389,-0.534119542,-0.557221014,0.59636272,2.730900759,-0.235636858,-0.274372257,-0.027439676,1.025595836,3.212802766,-0.196144763,-0.412654213,-0.28093049,0.719227257,2.752406071
MCAT,Q8IVS2,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",Q8IVS2,Mitochondrion,2,,,,,,-1.068906999,-0.7884395,2.691645824,4.274410769,4.013730228,-0.839983392,-0.433214065,3.216470386,2.974841312,4.820434284
MCCC2,Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Q9HCC0;Q9HCC0-2,Mitochondrion,3,-1.170231607,-0.707029829,2.800413313,6.088459654,4.207892852,-1.050980607,-0.653559312,3.195158587,4.430753604,3.978012535,-0.92423464,-0.505512705,3.219540281,4.493903472,3.426398953
MCFD2,Q8NI22,Multiple coagulation factor deficiency protein 2,Q8NI22;Q8NI22-2;Q8NI22-3,,3,0.694746501,-0.071587984,-0.290674069,-0.275926048,0.153027043,0.851279308,-0.031592166,-0.138505102,-0.114519346,0.161823203,0.975043158,-0.019404317,-0.319153577,-0.113832281,0.014783753
MCM2,P49736,DNA replication licensing factor MCM2,P49736,,3,-1.936662736,-0.191919791,-0.97095003,-0.736725165,-0.827282081,-1.686916715,0.291603558,-0.459040341,-1.107305894,-0.77016601,-1.852771463,-0.447150798,-0.313584636,-1.228570749,-0.255752776
MCM3,P25205,DNA replication licensing factor MCM3,P25205;P25205-2,,3,-1.375047547,-0.017154238,-0.439128558,-0.79275682,-0.881879525,-1.250474313,0.299947954,-0.441125043,-0.874137336,-0.836578557,-1.250165426,0.017066724,-0.594552156,-1.142544441,-0.97109143
MCM4,P33991,DNA replication licensing factor MCM4,P33991,,3,-1.584976928,-0.163671866,-0.518060462,-0.787044749,-0.812891053,-1.521887598,0.110630508,-0.644780712,-1.135015579,-0.809144974,-1.667538384,-0.246840492,-0.643450489,-1.205563338,-0.806064287
MCM5,P33992,DNA replication licensing factor MCM5,P33992,,3,-1.287043316,0.201508404,-0.437486466,-0.994470661,-0.792731827,-1.046652803,0.47736648,-0.307572802,-0.765425106,-0.815402316,-1.286128257,0.044324169,-0.402397319,-0.779818657,-0.908198631
MCM6,Q14566,DNA replication licensing factor MCM6,Q14566,,3,-1.604630043,-0.160185495,-0.566314085,-1.053703324,-0.833233146,-1.72399176,-0.264703126,-0.594878965,-1.02356304,-0.778951972,-1.863913636,-0.591592468,-0.80967592,-1.222161609,-0.421399364
MCM7,P33993,DNA replication licensing factor MCM7,P33993;P33993-3,,3,-1.968040259,-0.16693991,-0.476217266,-1.03297899,-0.713355379,-1.767191912,0.174406419,-0.852927799,-1.131281632,-0.677541091,-1.92368719,-0.146643031,-0.871363455,-1.185441374,-0.715509557
MCTP2,Q6DN12,Multiple C2 and transmembrane domain-containing protein 2,Q6DN12;Q6DN12-2;Q6DN12-3,,3,0.001730196,-0.549197847,-0.574497727,0.685805625,0.822689364,0.229957009,-0.227556884,-0.36464493,0.516418642,1.613012944,-0.014135299,-0.516635639,-0.398778914,0.677079711,1.326479823
MCTS1,Q9ULC4,Malignant T-cell-amplified sequence 1,Q9ULC4;Q9ULC4-3;Q9ULC4-2,,3,0.903115418,1.09969917,-0.063499624,-0.809321934,-0.935751743,0.93319492,0.88424624,-0.059314536,-0.978776143,-1.030707656,0.42050935,0.882447416,-0.03041294,-0.776083249,-1.111601578
MCU,Q8NE86,"Calcium uniporter protein, mitochondrial",Q8NE86;Q8NE86-3;Q8NE86-2,,3,-1.200348992,-0.815224608,2.284869433,4.346318701,5.068111852,-1.192480208,-0.78356376,2.579493953,2.415623475,1.863700624,-0.945804442,-0.422095086,2.959158085,3.314319491,1.729965997
MDH1,P40925,"Malate dehydrogenase, cytoplasmic",P40925;P40925-3;P40925-2,,3,-0.729650471,-0.914221852,-1.125982123,-0.983646316,-0.262538204,-0.900475868,-0.805282537,-1.086629925,-0.952126627,-0.110448581,-0.438854746,-0.585799507,-0.870281767,-1.058923746,-0.009088693
MDH2,P40926,"Malate dehydrogenase, mitochondrial",P40926;P40926-2,Mitochondrion,3,-1.178534676,-0.717287399,2.68243846,3.990501111,3.997563396,-1.119353652,-0.649570646,3.025702131,4.060652704,4.045792419,-0.820463472,-0.358731439,3.330701802,4.388671733,4.187292681
MDN1,Q9NU22,Midasin,Q9NU22,,1,,,,,,0.965322548,0.822607794,-0.017548479,-0.929226005,-1.816799353,,,,,
ME2,P23368,"NAD-dependent malic enzyme, mitochondrial",P23368;P23368-2,Mitochondrion,3,-1.195649009,-0.705758629,2.915520901,6.829088444,3.647084213,-1.125572852,-0.722515077,2.973960198,3.979933872,2.417190917,-0.857129155,-0.449926783,3.385431037,5.179630474,4.216222028
MED23,Q9ULK4,Mediator of RNA polymerase II transcription subunit 23,Q9ULK4;Q9ULK4-4;Q9ULK4-5;Q9ULK4-3;Q9ULK4-2,,1,,,,,,1.481815574,1.319386715,-0.170588794,-1.17869796,-0.818299499,,,,,
MEMO1,Q9Y316,Protein MEMO1,Q9Y316;Q9Y316-3;Q9Y316-2,,1,,,,,,-0.801455557,-0.107647835,-0.995045646,-0.916643646,-0.518246412,,,,,
MEPCE,Q7L2J0,7SK snRNA methylphosphate capping enzyme,Q7L2J0,,2,1.073546061,1.442757758,-0.266367994,-1.113348409,-1.507213622,1.749276812,1.539183631,-0.072406904,-1.119479028,-1.3738506,,,,,
MESDC2,Q14696,LDLR chaperone MESD,Q14696,,3,0.316725022,-0.841895684,-0.780785004,1.195725548,0.558953302,0.373620373,-0.774971917,-0.424242342,1.57128848,3.338709645,0.635150724,-0.630617275,-0.572715654,1.40811401,3.203389117
MET,P08581,Hepatocyte growth factor receptor,P08581;P08581-2,Plasma membrane,3,-0.573445393,-0.618517267,-0.549535655,0.575699579,2.212600465,-0.342396577,-0.385205363,-0.264217901,0.807107582,2.305766283,-0.521307704,-0.762362864,-0.721111249,0.321119959,1.84402403
METAP1,P53582,Methionine aminopeptidase 1,P53582,,3,2.1164313,2.05699963,0.019203734,-0.890973824,-0.628742253,2.101044905,1.752662969,-0.13352717,-1.145254267,-0.903765139,1.386093558,1.384989187,-0.424532757,-1.386656947,-1.479753777
METAP2,P50579,Methionine aminopeptidase 2,P50579;P50579-3,,3,1.244217298,1.468479053,0.094776557,-0.842568173,-1.085190584,1.364908555,1.516922851,0.005902957,-0.917896955,-1.280650062,1.231493851,1.338338835,-0.019769921,-0.993895905,-1.576045406
METTL13,Q8N6R0,Methyltransferase-like protein 13,Q8N6R0;Q8N6R0-3;Q8N6R0-4;Q8N6R0-1;Q8N6R0-2,,3,1.142936177,1.661384776,0.015782997,-0.904332082,-0.86704156,1.569685512,1.274052884,-0.067666648,-1.163332543,-0.847699742,0.768163147,0.822526219,-0.385167679,-1.144967103,-1.468611053
METTL2B,Q6P1Q9,Methyltransferase-like protein 2B,Q6P1Q9;Q6P1Q9-2,,1,-0.204814901,-0.087304154,-0.436158521,-0.483298979,-0.628006304,,,,,,,,,,
METTL7A,Q9H8H3,Methyltransferase-like protein 7A,Q9H8H3,,1,-0.019024187,-0.761873508,-0.86265387,0.819504696,2.447737871,,,,,,,,,,
MFF,Q9GZY8-2,Mitochondrial fission factor,Q9GZY8-2;Q9GZY8;Q9GZY8-5;Q9GZY8-4;Q9GZY8-3,,3,-0.836140639,-0.579943449,1.071350804,2.537196653,2.953544624,-0.857103022,-0.623576246,1.3822799,2.836671496,3.384878704,-0.564008778,-0.501116018,1.450643815,2.782660176,3.518283338
MFI2,P08582,Melanotransferrin,P08582,Plasma membrane,3,-0.311721152,-0.504304837,-0.630795975,0.40315863,2.098790088,-0.043571567,-0.359194004,-0.195285564,0.889551419,2.140386032,-0.00818885,-0.555290533,-0.414710525,0.45438649,1.356707253
MFN1,Q8IWA4,Mitofusin-1,Q8IWA4;Q8IWA4-3;Q8IWA4-2,Mitochondrion,3,-1.007173573,-0.680659534,1.944033813,2.967500647,3.150754622,-1.067817853,-0.821967434,2.159112461,3.066881379,2.616522379,-0.790708849,-0.596972292,2.365300599,3.653747943,3.743299528
MFN2,O95140,Mitofusin-2,O95140;O95140-2,Mitochondrion,3,-1.036259557,-0.728861218,2.126014705,3.14280551,3.033528722,-1.153767466,-0.910718812,2.440872489,3.057242301,2.863839361,-1.063198133,-0.791407829,2.356256516,1.996605677,1.920140828
MGST1,P10620,Microsomal glutathione S-transferase 1,P10620;P10620-2,,3,-0.133416393,-0.727522867,-0.551881381,1.473111505,3.692092375,-0.051997285,-0.675051181,-0.247148668,1.493442391,3.254745198,0.171719239,-0.586167654,-0.252122833,1.567058626,3.299083437
MGST3,O14880,Microsomal glutathione S-transferase 3,O14880,,3,-1.050801268,-0.714065192,2.168321116,3.959491974,4.907563696,-1.06996668,-0.726567661,2.543075139,4.783875677,4.882496327,-0.692594791,-0.42705214,2.401985363,4.358114898,5.114117114
MIA3,Q5JRA6,Melanoma inhibitory activity protein 3,Q5JRA6;Q5JRA6-2,ER,3,0.390447578,-0.703501478,-0.755673083,1.003890027,3.439889048,0.411426246,-0.746252715,-0.619004641,1.158660175,2.697217803,0.744505579,-0.638590956,-0.657832149,1.182247345,1.677079711
MICALL1,Q8N3F8,MICAL-like protein 1,Q8N3F8,,2,,,,,,0.033792989,-0.265119163,-0.067364285,-0.492261166,-0.068967531,-0.057902177,0.612777105,-0.215680292,-0.286937703,-0.099788167
MICU1,Q9BPX6,"Calcium uptake protein 1, mitochondrial",Q9BPX6;Q9BPX6-3;Q9BPX6-2;Q9BPX6-5;Q9BPX6-4,,3,-1.135744509,-0.604673919,1.133366243,2.282350839,2.257372756,-1.075155199,-0.57406811,2.582893154,2.498557248,2.924156908,-0.933710999,-0.436861399,2.368963861,2.467931546,3.051406907
MICU2,Q8IYU8,"Calcium uptake protein 2, mitochondrial",Q8IYU8,Mitochondrion,3,-1.221959678,-0.723277047,1.73760024,2.393635856,2.334282225,-0.983646316,-0.688496885,1.694479079,1.980135007,1.805952766,-0.854805154,-0.361824193,2.342611633,3.186453016,2.622672704
MID1,O15344,E3 ubiquitin-protein ligase Midline-1,O15344;O15344-2,,3,1.367315146,1.355129058,0.150949541,-0.460210884,-0.836836218,1.427713432,1.359746047,0.239031363,-0.68963661,-1.055291452,0.951214764,1.071694033,0.063502942,-0.573681565,-1.3738506
MIF,P14174,Macrophage migration inhibitory factor,P14174,,1,-1.369109984,-0.709339688,-0.944415606,-1.162751033,-0.768420135,,,,,,,,,,
MINK1,Q8N4C8,Misshapen-like kinase 1,Q8N4C8;Q8N4C8-3;Q8N4C8-2;Q8N4C8-5;Q8N4C8-4,,1,,,,,,-0.251075118,-0.018191176,-0.032491975,0.181038924,0.847596102,,,,,
MINPP1,Q9UNW1,Multiple inositol polyphosphate phosphatase 1,Q9UNW1;Q9UNW1-4,ER,2,,,,,,0.33571191,-0.812662972,-0.434831797,1.503501393,3.499654578,0.547449829,-0.769182158,-0.59570721,1.459431619,2.714421378
MIPEP,Q99797,Mitochondrial intermediate peptidase,Q99797,Mitochondrion,3,-1.199719233,-0.753336537,2.378899989,3.551146837,-1.186787278,-1.110728955,-0.807098866,2.669729795,2.258458623,2.645263573,-0.937242758,-0.520127924,2.898111589,1.335368915,0.368824212
MISP,Q8IVT2,Mitotic interactor and substrate of PLK1,Q8IVT2,,3,-1.471248668,-0.493255897,0.984990296,1.94927345,1.717956025,-0.994441917,0.154194325,1.582315132,1.200755432,2.844847595,-0.859116663,-0.224233031,1.352927978,1.81623105,2.799957635
MKI67,P46013,Antigen KI-67,P46013,,3,-1.913324916,0.805292456,0.175939705,-0.070133272,0.465086379,-1.322469207,1.076353861,0.595790071,-0.164755001,0.339251427,-2.106249498,-0.251504418,0.051302489,-0.264824458,-0.262763205
MLEC,Q14165,Malectin,Q14165,ER,3,0.339821505,-0.821584922,-0.678510551,1.571239931,3.874698619,0.413918977,-0.815808587,-0.367340914,1.843300512,3.935176839,0.608809243,-0.678856945,-0.49699735,1.684010782,3.743299528
MLF2,Q15773,Myeloid leukemia factor 2,Q15773,,1,,,,,,-0.538157162,-0.196987937,-0.176951781,-0.872578023,-0.291962892,,,,,
MLH1,P40692,DNA mismatch repair protein Mlh1,P40692;P40692-3;P40692-2,,2,0.637100124,1.311968051,-0.321044715,-1.038006323,-1.266697728,,,,,,0.683202373,1.011209361,-0.559324146,-1.304504983,-1.711558747
MLKL,Q8NB16,Mixed lineage kinase domain-like protein,Q8NB16;Q8NB16-2,,3,0.466131129,0.374177033,-0.179073583,-0.387977837,-0.287307383,0.522256668,0.668391477,-0.147905253,-0.794207142,-0.619869028,0.525367331,0.39758394,-0.211548146,-0.689915864,-0.629233095
MMAB,Q96EY8,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",Q96EY8,Mitochondrion,3,-1.283421677,-0.719708785,2.266276823,4.886647689,5.102070185,-1.169874508,-0.864754092,3.24133683,5.391320932,4.095502518,-0.775811511,-0.343677541,3.671066872,5.282439805,2.910540801
MMP15,P51511,Matrix metalloproteinase-15,P51511,,3,-0.555502547,-0.654853464,-0.831075614,0.672832634,2.138814469,-0.227438647,-0.445028118,-0.470728756,0.777198757,2.54910233,-1.143149725,-1.389148779,-1.433389394,-0.287923727,0.135797512
MMTAG2,Q9BU76,Multiple myeloma tumor-associated protein 2,Q9BU76;Q9BU76-4;Q9BU76-2;Q9BU76-3,,2,1.557826675,0.976216976,-0.734275074,-1.568366344,-1.523960556,,,,,,1.277746757,1.055542748,-0.404019021,-1.306145098,-1.806821224
MOB1A,Q9H8S9,MOB kinase activator 1A,Q9H8S9;Q7L9L4;Q7L9L4-2;Q9H8S9-2,,1,-0.4432616,0.039419183,-0.466616065,-0.107539027,-0.246772017,,,,,,,,,,
MOB4,Q9Y3A3,MOB-like protein phocein,Q9Y3A3;Q9Y3A3-3;Q9Y3A3-2,,2,,,,,,-0.345949474,-0.323840933,-0.345344497,0.321350901,0.208891775,-0.177816446,-0.737783353,-0.363419458,0.70168212,1.331017236
MOCOS,Q96EN8,Molybdenum cofactor sulfurase,Q96EN8,,1,,,,,,0.801324236,1.074847916,-0.121439435,-0.771914,-1.057631883,,,,,
MOGS,Q13724,Mannosyl-oligosaccharide glucosidase,Q13724;Q13724-2,ER,3,0.333423734,-0.841662973,-0.713213458,1.477573719,3.788372501,0.34596403,-0.909011112,-0.425636868,1.721941313,2.438133135,0.564719594,-0.652447723,-0.593637487,1.638305577,3.641892789
MORF4L2,Q15014,Mortality factor 4-like protein 2,Q15014,,2,1.17255152,1.334625479,-0.088040035,-0.951401093,-0.873053567,0.910118618,1.571142829,-0.158751429,-1.247354156,-1.089113868,,,,,
